iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CAN,North America,Canada,01/01/2021,591149,3720,6.452.286,15806,44,120,15528.8,97.72,169.494,415.205,1.156,3.152,1.06,817,21.462,4212,110.644,,,,,132528,18097623,475.404,3.481,98943,2.599,0.065,15.3,tests performed,105269,105268,1,,6612,8075,0.28,0.28,0,,212,70.83,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,02/01/2021,598091,6942,6701,15914,108,123.286,15.711.158,182.358,176.028,418.042,2.837,3.239,1.07,814,21.383,3970,104.287,,,,,132347,18229970,478.88,3.477,99556,2.615,0.067,14.9,tests performed,109940,109939,1,,4671,8740,0.29,0.29,0,,230,70.83,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,03/01/2021,608734,10643,7.440.714,16006,92,119.286,15.990.737,279.579,195.459,420.459,2.417,3.133,1.08,840,22.066,4012,105.391,,,,,112605,18342575,481.838,2.958,101386,2.663,0.073,13.6,tests performed,115140,115139,1,,5200,8967,0.3,0.3,0,,236,70.83,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,04/01/2021,618801,10067,7.949.286,16247,241,131.286,16.255.186,264.448,208.819,426.79,6.331,3.449,1.07,833,21.882,4263,111.984,,,,,88136,18430711,484.153,2.315,103185,2.711,0.077,13,tests performed,138739,138738,1,,23599,11393,0.36,0.36,0,,299,70.83,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,05/01/2021,626129,7328,7758,16389,142,123,16.447.684,192.498,203.794,430.52,3.73,3.231,1.06,859,22.565,4457,117.08,,,,,83429,18514140,486.345,2.192,103907,2.73,0.075,13.4,tests performed,156548,156545,3,,17809,12036,0.41,0.41,0,,316,70.83,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,06/01/2021,634437,8308,7.694.857,16539,150,127,16.665.925,218.242,202.135,434.46,3.94,3.336,1.05,870,22.854,4651,122.176,,,,,83472,18597612,488.538,2.193,104774,2.752,0.073,13.6,tests performed,184625,184183,442,,28077,14134,0.48,0.48,0,,371,73.61,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,07/01/2021,642978,8541,7.935.571,16704,165,134.571,16.890.288,224.362,208.458,438.795,4.334,3.535,1.04,863,22.67,4592,120.627,,,,,118708,18716320,491.656,3.118,107318,2.819,0.074,13.5,tests performed,221739,220617,1122,,37114,17583,0.58,0.58,0,,462,73.61,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,08/01/2021,652373,9395,8.746.286,16846,142,148.571,17.137.083,246.796,229.755,442.525,3.73,3.903,1.03,873,22.933,4554,119.628,,,,,135490,18851810,495.215,3.559,107741,2.83,0.081,12.3,tests performed,263555,261463,2092,,41816,22612,0.69,0.69,0.01,,594,73.61,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,09/01/2021,659647,7274,8.793.714,16984,138,152.857,17.328.163,191.08,231.001,446.15,3.625,4.015,1.01,890,23.379,4527,118.919,,,,,146263,18998073,499.057,3.842,109729,2.882,0.08,12.5,tests performed,299744,296707,3037,,36189,27115,0.79,0.78,0.01,,712,75.46,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CAN,North America,Canada,10/01/2021,666375,6728,8.234.429,17074,90,152.571,17504.9,176.737,216.309,448.514,2.364,4.008,0.99,885,23.248,4525,118.867,,,,,141597,19139670,502.777,3.72,113871,2.991,0.072,13.8,tests performed,323140,320091,3049,,23396,29714,0.85,0.84,0.01,,781,75.46,38067913,4.037,41.4,16.984,10.797,44.017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
